Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Event Start Video Time [ms]	Event End Video Time [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Visual Intake Average Pupil Size X [px]	Visual Intake Average Pupil Size Y [px]	Visual Intake Average Pupil Diameter [mm]	Visual Intake Dispersion X [px]	Visual Intake Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	50	23146.1	23196.0	230528.0	230577.9	49.9	00:00:23:242	00:00:23:284	-	-	-	-	-	-	-	697.3	619.9	726.2	622.9	1.3	1204.6	2326.0	110.5	28.1	59.3	66.6	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	50	23196.0	25409.2	230577.9	232791.1	2213.2	00:00:23:284	00:00:25:492	718.9	633.2	56.7	49.5	2.9	11.6	20.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	51	25409.2	25459.1	232791.1	232841.1	49.9	00:00:25:492	00:00:25:533	-	-	-	-	-	-	-	715.0	635.7	726.5	636.7	0.5	634.1	1033.9	139.7	12.0	23.2	66.6	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	51	25459.1	26807.1	232841.1	234189.1	1348.0	00:00:25:533	00:00:26:866	723.5	622.9	56.6	49.2	2.8	45.2	50.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	52	26807.1	26857.2	234189.1	234239.1	50.0	00:00:26:866	00:00:26:949	-	-	-	-	-	-	-	704.0	587.4	719.0	575.9	0.8	719.6	1503.8	193.9	19.5	38.7	66.2	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	52	26857.2	30101.7	234239.1	237483.7	3244.6	00:00:26:949	00:00:30:157	723.7	570.6	57.2	47.3	2.9	28.9	33.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	53	30101.7	30135.0	237483.7	237516.9	33.2	00:00:30:157	00:00:30:198	-	-	-	-	-	-	-	727.2	575.2	745.0	574.0	0.7	1596.8	3136.7	56.8	26.1	49.6	49.9	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	53	30135.0	30783.9	237516.9	238165.9	649.0	00:00:30:198	00:00:30:865	738.0	577.8	56.4	46.6	2.8	8.0	11.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	54	30783.9	30817.2	238165.9	238199.1	33.3	00:00:30:865	00:00:30:907	-	-	-	-	-	-	-	738.9	584.5	700.1	584.3	1.9	3542.1	6465.3	618.9	58.2	107.5	50.1	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	54	30817.2	31050.2	238199.1	238432.1	233.0	00:00:30:907	00:00:31:157	696.6	588.0	57.4	48.0	2.8	10.2	3.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	55	31050.2	31100.1	238432.1	238482.0	49.9	00:00:31:157	00:00:31:198	-	-	-	-	-	-	-	694.7	586.9	667.4	596.3	1.4	1274.8	2876.3	160.9	27.9	44.7	33.3	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	55	31100.1	31233.2	238482.0	238615.1	133.1	00:00:31:198	00:00:31:323	664.4	592.4	56.4	47.6	2.8	13.6	10.4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	56	31233.2	31283.1	238615.1	238665.1	50.0	00:00:31:323	00:00:31:365	-	-	-	-	-	-	-	655.2	589.1	720.8	585.1	3.0	5119.0	8797.9	299.5	62.6	142.4	33.5	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	56	31283.1	32481.2	238665.1	239863.1	1198.1	00:00:31:365	00:00:32:572	725.5	591.6	55.8	46.8	2.8	23.4	57.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	57	32481.2	32531.1	239863.1	239913.1	49.9	00:00:32:572	00:00:32:572	-	-	-	-	-	-	-	726.2	634.4	626.6	639.2	4.7	5115.9	10559.6	618.2	93.8	172.3	33.3	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	57	32531.1	33995.4	239913.1	241377.4	1464.3	00:00:32:572	00:00:34:072	639.3	630.0	52.7	46.7	2.7	85.9	62.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	58	33995.4	34045.4	241377.4	241427.3	49.9	00:00:34:072	00:00:34:114	-	-	-	-	-	-	-	681.7	640.6	642.6	636.8	1.8	1722.9	2521.7	462.6	38.2	74.0	66.8	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	58	34045.4	34228.4	241427.3	241610.4	183.1	00:00:34:114	00:00:34:322	643.4	638.5	53.1	46.2	2.7	5.0	1.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
